Comment,Designator,Footprint,LibRef,Quantity

"CAP","C1","C0603","CAP","1"
"CAP","C2","C0603","CAP","1"
"KR-5R5H155-R","C3","KR-5R5H155-R","KR-5R5H155-R","1"
"CAP","C4","C0603","CAP","1"
"CAP","C5","C0603","CAP","1"
"CAP","C6","C0603","CAP","1"
"CAP","C7","C0603","CAP","1"
"CAP","C8","C0603","CAP","1"
"CAP","C9","C0603","CAP","1"
"CAP","C10","C0603","CAP","1"
"CAP","C11","C0603","CAP","1"
"CAP","C12","C0603","CAP","1"
"CAP","C13","C0603","CAP","1"
"CAP","C14","C0603","CAP","1"
"CAP","C15","C0603","CAP","1"
"CAP","C16","C0603","CAP","1"
"CAP","C17","C0603","CAP","1"
"CAP","C18","C0603","CAP","1"
"CAP","C19","C0603","CAP","1"
"CAP","C20","C0603","CAP","1"
"CAP","C21","C0603","CAP","1"
"CAP","C22","C0603","CAP","1"
"CAP","C23","C0603","CAP","1"
"CAP","C24","C0603","CAP","1"
"CAP","C25","C0603","CAP","1"
"CAP","C26","C0603","CAP","1"
"CAP","C27","C0603","CAP","1"
"CAP","C28","C0603","CAP","1"
"CAP","C29","C0603","CAP","1"
"CAP","C30","C0603","CAP","1"
"CAP","C31","C0603","CAP","1"
"CAP","C32","C0603","CAP","1"
"CAP","C33","C0603","CAP","1"
"CAP","C34","C0603","CAP","1"
"CAP","C35","C0603","CAP","1"
"CAP","C36","C0603","CAP","1"
"CAP","C37","C0603","CAP","1"
"CAP","C38","C0603","CAP","1"
"CAP","C39","C0603","CAP","1"
"CAP","C40","C0603","CAP","1"
"CAP","C41","C0603","CAP","1"
"CAP","C42","C0603","CAP","1"
"CAP","C43","C0603","CAP","1"
"CAP","C44","C0603","CAP","1"
"CAP","C45","C1206","CAP","1"
"CAP","C46","C0603","CAP","1"
"CAP","C47","C0603","CAP","1"
"CAP","C48","C0603","CAP","1"
"CAP","C49","C0603","CAP","1"
"CAP","C50","C0603","CAP","1"
"CAP","C51","C1206","CAP","1"
"CAP","C52","C0603","CAP","1"
"CAP","C53","C0603","CAP","1"
"CAP","C54","C0603","CAP","1"
"CAP","C55","C0603","CAP","1"
"CAP","C56","C0603","CAP","1"
"CAP","C57","C0603","CAP","1"
"CAP","C58","C0603","CAP","1"
"CAP","C59","C0603","CAP","1"
"CAP","C60","C0603","CAP","1"
"CAP","C61","C0603","CAP","1"
"CAP","C62","C0603","CAP","1"
"CAP","C63","C0603","CAP","1"
"CAP","C64","C0603","CAP","1"
"CAP","C65","C0603","CAP","1"
"CAP","C66","C0603","CAP","1"
"CAP","C67","C0603","CAP","1"
"CAP","C70","C0603","CAP","1"
"CAP","C71","C0603","CAP","1"
"caseD","C72","Cap_D","Cap Pol_D","1"
"caseD","C73","Cap_D","Cap Pol_D","1"
"CAP","C74","C1210","CAP","1"
"CAP","C75","C1210","CAP","1"
"CAP","C76","C0603","CAP","1"
"CAP","C77","C1210","CAP","1"
"CAP","C78","C1210","CAP","1"
"CAP","C79","C0603","CAP","1"
"CAP","C80","C0603","CAP","1"
"CAP","C81","C0603","CAP","1"
"CAP","C82","C0603","CAP","1"
"CAP","C83","C0603","CAP","1"
"CAP","C84","C1210","CAP","1"
"CAP","C85","C1210","CAP","1"
"CAP","C86","C0603","CAP","1"
"CAP","C87","C0805","CAP","1"
"CAP","C88","C1210","CAP","1"
"CAP","C89","C0603","CAP","1"
"CAP","C90","C0603","CAP","1"
"CAP","C91","C0603","CAP","1"
"caseD","C92","Cap_D","Cap Pol_D","1"
"caseD","C93","Cap_D","Cap Pol_D","1"
"CAP","C94","C0603","CAP","1"
"CAP","C95","C1210","CAP","1"
"CAP","C96","C0603","CAP","1"
"CAP","C97","C0603","CAP","1"
"USBLC6","DA1","ESD_SOT23-6L","USBLC6-4SC6","1"
"STM32H743ZxT","DD1","STM-LQFP144_L","STM32H743ZxT","1"
"SIM68V","DD2","SIM68M","SIM68V","1"
"LIS3DH","DD3","LGA-16","LIS3DH","1"
"KXO-V97","DD4","SO4-GEN","KXO-V97","1"
"KXO-V97","DD5","SO4-GEN","KXO-V97","1"
"LAN8742A","DD6","QFN-MJ24","LAN8742A","1"
"74HC245PWR","DD7","TSSOP20","74HC245PWR","1"
"ADM2587E","DD8","SOIC_20W","ADM2587E","1"
"74LVC45APWR","DD9","TSSOP20","74LVC45APWR","1"
"STM3485","DD10","SO8_L","ST3485EB","1"
"TMC4671","DD11","QFN76","TMC4671","1"
"TMC4671","DD12","QFN76","TMC4671","1"
"TPS26600RHFR","DD14","VQFN24","TPS26600RHFR","1"
"AM26C31CD","DD15","SO-16_N","AM26C31CD","1"
"LM26420X","DD16","WQFN16","LM26420X","1"
"AM26LV32ID","DD17","SO-16_N","AM26LV32ID","1"
"AM26LV32ID","DD18","SO-16_N","AM26LV32ID","1"
"74HC257","DD19","SO-16_N","74HC257","1"
"TPS54332","DD20","DDA","TPS54332","1"
"TBU-CA065","F1","TBU-CA","TBU-CA065","1"
"TBU-CA065","F2","TBU-CA","TBU-CA065","1"
"TBU-CA065","F3","TBU-CA","TBU-CA065","1"
"TBU-CA065","F4","TBU-CA","TBU-CA065","1"
"TBU-CA065","F5","TBU-CA","TBU-CA065","1"
"TBU-CA065","F6","TBU-CA","TBU-CA065","1"
"2030-42T-SM","FV1","2030-42T-SM","2030-42T-SM","1"
"2030-42T-SM","FV2","2030-42T-SM","2030-42T-SM","1"
"2030-42T-SM","FV3","2030-42T-SM","2030-42T-SM","1"
"LED0603","HL1","LED0603","LED0603","1"
"LED0603","HL2","LED0603","LED0603","1"
"LED0603","HL3","LED0603","LED0603","1"
"LED0603","HL4","LED0603","LED0603","1"
"LED0603","HL5","LED0603","LED0603","1"
"LQH32CN","L1","LQH32CN","LQH32CN","1"
"FerriteBead","L2","L0603","FerriteBead","1"
"LQH32CN","L3","LQH32CN","LQH32CN","1"
"LQH32CN","L4","LQH32CN","LQH32CN","1"
"BLM18AG","L5","R0603","BLM18AG","1"
"XAL6060","L6","XAL6060","XAL6060","1"
"XAL4030","L7","XAL4030","XAL4030","1"
"XAL4030","L8","XAL4030","XAL4030","1"
"XAL5050","L9","XAL5050","XAL5050","1"
"NX2016SA","Q1","CRY_NX2016SA_4P","NX2016SA","1"
"RES","R1","R0603","RES","1"
"RES","R2","R0603","RES","1"
"RES","R3","R0603","RES","1"
"RES","R4","R0603","RES","1"
"RES","R5","R0603","RES","1"
"RES","R6","R0603","RES","1"
"RES","R7","R0603","RES","1"
"RES","R8","R0603","RES","1"
"RES","R9","R0603","RES","1"
"RES","R10","R0603","RES","1"
"RES","R11","R0603","RES","1"
"RES","R12","R0603","RES","1"
"RES","R13","R0603","RES","1"
"RES","R14","R0603","RES","1"
"RES","R15","R0603","RES","1"
"RES","R16","R0603","RES","1"
"RES","R17","R0603","RES","1"
"RES","R18","R0603","RES","1"
"RES","R19","R0603","RES","1"
"RES","R20","R0603","RES","1"
"RES","R21","R0603","RES","1"
"RES","R22","R0603","RES","1"
"RES","R23","R0603","RES","1"
"RES","R24","R0603","RES","1"
"RES","R25","R0603","RES","1"
"RES","R26","R0603","RES","1"
"RES","R27","R0603","RES","1"
"RES","R28","R0603","RES","1"
"RES","R29","R0603","RES","1"
"RES","R30","R0603","RES","1"
"RES","R31","R0603","RES","1"
"RES","R32","R0603","RES","1"
"RES","R33","R0603","RES","1"
"RES","R34","R0603","RES","1"
"RES","R35","R0603","RES","1"
"RES","R36","R0603","RES","1"
"RES","R37","R0603","RES","1"
"RES","R38","R0603","RES","1"
"RES","R39","R0603","RES","1"
"RES","R40","R0603","RES","1"
"RES","R41","R0603","RES","1"
"RES","R42","R0603","RES","1"
"RES","R43","R0603","RES","1"
"RES","R44","R0603","RES","1"
"RES","R45","R0603","RES","1"
"RES","R46","R0603","RES","1"
"RES","R47","R0603","RES","1"
"RES","R48","R0603","RES","1"
"RES","R49","R0603","RES","1"
"RES","R50","R0603","RES","1"
"RES","R51","R0603","RES","1"
"RES","R52","R0603","RES","1"
"RES","R53","R0603","RES","1"
"RES","R54","R0603","RES","1"
"RES","R55","R0603","RES","1"
"RES","R56","R0603","RES","1"
"RES","R57","R0603","RES","1"
"RES","R58","R0603","RES","1"
"RES","R59","R0603","RES","1"
"RES","R60","R0603","RES","1"
"RES","R61","R0603","RES","1"
"RES","R62","R0603","RES","1"
"RES","R63","R0603","RES","1"
"RES","R64","R0603","RES","1"
"RES","R65","R0603","RES","1"
"RES","R66","R0603","RES","1"
"RES","R67","R0603","RES","1"
"RES","R68","R0603","RES","1"
"RES","R69","R0603","RES","1"
"RES","R70","R0603","RES","1"
"RES","R71","R0603","RES","1"
"RES","R72","R0603","RES","1"
"RES","R73","R0603","RES","1"
"RES","R74","R0603","RES","1"
"RES","R75","R0603","RES","1"
"Test_point","TP1","TP1","TP","1"
"Test_point","TP2","TP1","TP","1"
"Test_point","TP3","TP1","TP","1"
"Test_point","TP4","TP1","TP","1"
"Test_point","TP5","TP1","TP","1"
"Test_point","TP6","TP1","TP","1"
"Test_point","TP7","TP1","TP","1"
"Test_point","TP8","TP1","TP","1"
"Test_point","TP9","TP1","TP","1"
"Test_point","TP10","TP1","TP","1"
"Test_point","TP11","TP1","TP","1"
"Test_point","TP12","TP1","TP","1"
"Test_point","TP13","TP1","TP","1"
"Test_point","TP14","TP1","TP","1"
"Test_point","TP15","TP1","TP","1"
"Test_point","TP16","TP1","TP","1"
"Test_point","TP17","TP1","TP","1"
"Test_point","TP18","TP1","TP","1"
"Test_point","TP19","TP1","TP","1"
"Test_point","TP20","TP1","TP","1"
"Test_point","TP21","TP1","TP","1"
"Test_point","TP22","TP1","TP","1"
"Test_point","TP23","TP1","TP","1"
"Test_point","TP24","TP1","TP","1"
"SMBJ","VD1","SMB-DO214","SMBJ5CA","1"
"SMBJ","VD2","SMB-DO214","SMBJ12CA","1"
"SMBJ","VD3","SMB-DO214","SMBJ5CA","1"
"SMBJ","VD4","SMB-DO214","SMBJ5CA","1"
"SMBJ","VD5","SMB-DO214","SMBJ12CA","1"
"SMBJ","VD6","SMB-DO214","SMBJ5CA","1"
"SMBJ","VD7","SMB-DO214","SMBJ5CA","1"
"SMBJ","VD8","SMB-DO214","SMBJ12CA","1"
"SMBJ","VD9","SMB-DO214","SMBJ5CA","1"
"B550C","VD10","SMC-DO214","B550C","1"
"ESDA6V1SC6","VD11","SOT23-6","ESDA6V1SC6","1"
"ESDA6V1SC6","VD12","SOT23-6","ESDA6V1SC6","1"
"ESDA6V1SC6","VD13","SOT23-6","ESDA6V1SC6","1"
"ESDA6V1SC6","VD14","SOT23-6","ESDA6V1SC6","1"
"B320A","VD15","SMA-DO214","B320A","1"
"ESDA5V3SC6","VD16","SOT23-6","ESDA5V3SC6","1"
"ESDA5V3SC6","VD17","SOT23-6","ESDA5V3SC6","1"
"ESDA5V3SC6","VD18","SOT23-6","ESDA5V3SC6","1"
"ESDA5V3SC6","VD19","SOT23-6","ESDA5V3SC6","1"
"BH-20","X1","IDC-20(BH-20)","IDC10x2_GOST","1"
"MMCX","X2","MMCX","MMCX","1"
"0826-1X1T-23-F","X3","0826-1X1T-23F","0826-1X1T-23-F","1"
"DG141V-6P","X4","DG141V-06P","DG141V-6P","1"
"DG141V-12P","X5","DG141V-12P","DG141V-12P","1"
"BH-30","X6","IDC-30(BH-30)","IDC15x2_GOST","1"
"BH-30","X7","IDC-30(BH-30)","IDC15x2_GOST","1"
"DG142V-02","X8","DG142V-02","DG142V-02","1"
"DG141V-6P","X9","DG141V-06P","DG141V-6P","1"
"DG141V-6P","X10","DG141V-06P","DG141V-6P","1"
"DG141V-6P","X11","DG141V-06P","DG141V-6P","1"
"DG141V-6P","X12","DG141V-06P","DG141V-6P","1"
"DG141V-6P","X13","DG141V-06P","DG141V-6P","1"
"FC-12M","Z1","FC-12M","FC-12M","1"
